word	count
ten	5
After	5
generally	5
remembered	5
garden,	5
shoes	5
“or	5
pair	5
Just	5
roof	5
moment,	5
kid	5
gloves	5
hair	5
sounded	5
sudden	5
hands,	5
foot	5
swam	5
“Would	5
eyes,	5
understand	5
sentence	5
tone:	5
conversation.	5
fetch	5
sit	5
them!”	5
her:	5
crowded	5
once,	5
notice	5
“In	5
“the	5
course,	5
silence.	5
course,”	5
exactly	5
dare	5
last,	5
call	5
sighed	5
young	5
“He	5
window,	5
head.	5
become	5
write	5
shouldn’t	5
taking	5
air.	5
broken	5
arm,	5
drew	5
“I’ll	5
puppy	5
arms	5
replied,	5
Here	5
yourself	5
time,”	5
spoke,	5
trees	5
Pigeon	5
you’ve	5
between	5
pepper	5
pleased	5
much,”	5
While	5
everybody	5
Cat.	5
waving	5
mad	5
remarked.	5
so,”	5
tea	5
replied.	5
Hearts,	5
puzzled	5
interrupted	5
piece	5
hedgehog	5
dance.	5
court	5
court,	5
pictures	4
mind	4
hot	4
worth	4
trouble	4
itself,	4
First,	4
sides	4
fear	4
somebody	4
they’ll	4
likely	4
fallen	4
several	4
lessons	4
listen	4
(Alice	4
walk	4
No,	4
Dinah	4
question,	4
“Now,	4
sight,	4
ears	4
except	4
tiny	4
rate	4
second	4
led	4
garden	4
shut	4
taught	4
drink	4
ventured	4
(it	4
fact,	4
nervous	4
while,	4
reach	4
sometimes	4
tears	4
now,”	4
“to	4
eye	4
glass	4
care	4
growing,	4
shan’t	4
new	4
nine	4
until	4
distance,	4
himself	4
dropped	4
she,	4
puzzling	4
capital	4
On	4
seems	4
stay	4
_can_	4
shrinking	4
hastily,	4
chin	4
case	4
number	4
thing,	4
nearer	4
history,	4
again:	4
pardon!”	4
Don’t	4
hurry	4
“Are	4
says	4
go,	4
you’ll	4
high	4
argument	4
said.	4
wanted	4
hastily.	4
more,	4
say,”	4
day,	4
here,”	4
short	4
could.	4
Said	4
sir,	4
finish	4
others	4
moved	4
since	4
Come	4
minute,	4
“Now	4
What	4
chance	4
learn	4
conversation	4
yer	4
him,	4
“So	4
dead	4
lay	4
crowd	4
held	4
do,”	4
An	4
stick,	4
back,	4
mushroom	4
height	4
herself;	4
quietly	4
hookah	4
different	4
yet,”	4
Father	4
stand	4
perfectly	4
“as	4
spoke	4
_have_	4
draw	4
face,	4
screamed	4
sleep	4
taken	4
does	4
strange	4
Footman	4
remark,	4
sneezing	4
timidly,	4
Duchess;	4
jumping	4
carried	4
meant	4
busily	4
beat	4
song,	4
“Don’t	4
all.	4
pig,	4
here?”	4
“Call	4
“I’d	4
fast	4
asleep	4
know—”	4
exclaimed	4
now.”	4
bottom	4
begins	4
gardeners	4
gardeners,	4
pack	4
whispered	4
passed	4
Duchess:	4
Soup	4
things!”	4
school	4
dance?	4
Will	4
Soup!	4
Beau—ootiful	4
Soo—oop!	4
trial	4
writing	4
slates,	4
witness	4
jury,	4
THE	3
Bill	3
Turtle’s	3
Quadrille	3
peeped	3
book	3
considering	3
sleepy	3
next.	3
to,	3
dark	3
filled	3
managed	3
Would	3
miles	3
aloud.	3
see:	3
think—”	3
to?”	3
funny	3
sound	3
girl	3
hope	3
me!	3
mice	3
catch	3
mouse,	3
wonder?”	3
dream	3
Dinah,	3
late	3
hanging	3
middle,	3
key,	3
high:	3
larger	3
Oh,	3
begin.”	3
out-of-the-way	3
happened	3
indeed	3
hoping	3
rules	3
before,”	3
paper	3
hurry.	3
finger	3
finding	3
high,	3
garden.	3
“in	3
fancy	3
decided	3
Alice!	3
possibly	3
legs	3
severely	3
box	3
croquet	3
child	3
fond	3
larger,	3
smaller,	3
“Which	3
Which	3
remained	3
size:	3
expecting	3
way.	3
opening	3
them,”	3
boots	3
side,	3
cry	3
you!”	3
tears,	3
pattering	3
other:	3
muttering	3
Duchess!	3
savage	3
timid	3
please,	3
gloves,	3
_that’s_	3
mine	3
sorts	3
let’s	3
doth	3
crossed	3
tail,	3
grin,	3
spread	3
gently	3
all,	3
putting	3
Tell	3
dear!”	3
